file_name,time_ms,channel,cluster,peak_amplitude,waveform_length
010.csv,266872.15,55,-1,0.0232756374114172,3.5
010.csv,266872.7,55,-1,0.0175094674182565,3.5
010.csv,266873.25,55,-1,0.0210254247311594,3.5
010.csv,266873.85,55,-1,0.0177204248570306,3.5
010.csv,266874.4,55,-1,0.0197596800985143,3.5
010.csv,266875.0,55,-1,0.0184939354658693,3.5
010.csv,266875.75,55,-1,0.0183532971733531,3.5
010.csv,266876.45,55,-1,0.0210957438774174,3.5
010.csv,266877.2,55,-1,0.0175094674182565,3.5
010.csv,266878.1,55,-1,0.0189861694896757,3.5
010.csv,266878.7,55,-1,0.0184939354658693,3.5
010.csv,266879.25,55,-1,0.0191268077821918,3.5
010.csv,266879.85,55,-1,0.0188455311971596,3.5
010.csv,266881.1,55,-1,0.0201815949760627,3.5
010.csv,266881.8,55,-1,0.0170875525407081,3.5
010.csv,266882.55,55,-1,0.0179313822958048,3.5
010.csv,266883.1,55,-1,0.0191268077821918,3.5
010.csv,266883.65,55,-1,0.016946914248192,3.5
010.csv,266884.2,55,-1,0.0168765951019339,3.5
010.csv,266885.55,55,-1,0.0168765951019339,3.5
010.csv,266886.1,55,-1,0.0197596800985143,3.5
010.csv,266886.7,55,-1,0.0168062759556759,3.5
010.csv,266887.6,55,-1,0.0176501057107726,3.5
010.csv,267735.85,55,-1,0.0180017014420629,3.5
010.csv,267743.2,55,-1,0.018142339734579,3.5
010.csv,267744.95,55,-1,0.018212658880837,3.5
010.csv,267750.15,55,-1,0.01701723339445,3.5
010.csv,266828.25,56,-1,0.0174391482719984,3.5
010.csv,266832.55,56,-1,0.0171578716869662,3.5
010.csv,266833.2,56,-1,0.0191268077821918,3.5
010.csv,266834.2,56,-1,0.0172985099794823,3.5
010.csv,266835.05,56,-1,0.0170875525407081,3.5
010.csv,266835.6,56,-1,0.0172281908332242,3.5
010.csv,266836.15,56,-1,0.0171578716869662,3.5
010.csv,266837.2,56,-1,0.0196190418059982,3.5
010.csv,266837.9,56,-1,0.0175797865645145,3.5
010.csv,266838.45,56,-1,0.0191268077821918,3.5
010.csv,266839.0,56,-1,0.0175094674182565,3.5
010.csv,266839.55,56,-1,0.0188455311971596,3.5
010.csv,266840.1,56,-1,0.0185642546121273,3.5
010.csv,266840.65,56,-1,0.0192674460747079,3.5
010.csv,266841.2,56,-1,0.0196190418059982,3.5
010.csv,266841.8,56,-1,0.0171578716869662,3.5
010.csv,266842.35,56,-1,0.0196893609522562,3.5
010.csv,266843.05,56,-1,0.0177204248570306,3.5
010.csv,266843.6,56,-1,0.0187752120509015,3.5
010.csv,266844.15,56,-1,0.0179313822958048,3.5
010.csv,266844.7,56,-1,0.0196190418059982,3.5
010.csv,266845.25,56,-1,0.0184236163196112,3.5
010.csv,266845.8,56,-1,0.0243304246052881,3.5
010.csv,266846.35,56,-1,0.0210254247311594,3.5
010.csv,266846.9,56,-1,0.0220802119250302,3.5
010.csv,266847.45,56,-1,0.0189158503434176,3.5
010.csv,266848.0,56,-1,0.0209551055849013,3.5
010.csv,266848.55,56,-1,0.0220802119250302,3.5
010.csv,266849.1,56,-1,0.0218692544862561,3.5
010.csv,266849.65,56,-1,0.0211660630236755,3.5
010.csv,266850.2,56,-1,0.024189786312772,3.5
010.csv,266850.75,56,-1,0.0207441481461271,3.5
010.csv,266851.3,56,-1,0.0196893609522562,3.5
010.csv,266851.85,56,-1,0.0223614885100625,3.5
010.csv,266852.4,56,-1,0.0232756374114172,3.5
010.csv,266852.95,56,-1,0.0194784035134821,3.5
010.csv,266853.5,56,-1,0.0239788288739978,3.5
010.csv,266854.05,56,-1,0.0234162757039333,3.5
010.csv,266854.6,56,-1,0.0226427650950947,3.5
010.csv,266855.15,56,-1,0.0208144672923852,3.5
010.csv,266855.7,56,-1,0.0180720205883209,3.5
010.csv,266856.25,56,-1,0.022994360826385,3.5
010.csv,266856.8,56,-1,0.0277057436256749,3.5
010.csv,266857.35,56,-1,0.0204628715610949,3.5
010.csv,266857.9,56,-1,0.0241194671665139,3.5
010.csv,266858.45,56,-1,0.0252445735066428,3.5
010.csv,266859.0,56,-1,0.0303778711834811,3.5
010.csv,266859.55,56,-1,0.0236975522889656,3.5
010.csv,266860.1,56,-1,0.0238381905814817,3.5
010.csv,266860.65,56,-1,0.0281979776494813,3.5
010.csv,266861.2,56,-1,0.0263696798467718,3.5
010.csv,266861.75,56,-1,0.0338235093501259,3.5
